Prompt,Model,Code,Kappa_SE,Kappa_CI_Lower,Kappa_CI_Upper
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Revoicing,0.025203142603598735,0.3109271923072583,0.4070799081354576
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Pressing for Accuracy,0.012519478990264293,0.5598627468249282,0.6098264790192124
TalkMoves_Teacher_ZeroShot,google.gemini-3-pro-preview,Pressing for Reasoning,0.02092306446140421,0.24793150399872027,0.3331990262492615
TalkMoves_Teacher_ZeroShot,openai.gpt-5,None,0.008369154611419608,0.5625512835320995,0.5960325223704478
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Keeping Everyone Together,0.011672862047365489,0.08551325587289743,0.13065003375734036
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Getting Students to Relate to Another's Ideas,0.03302032854455072,0.5315911307090095,0.6628264830642883
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Restating,0.029829029886451353,0.6390776516217396,0.7527895816671181
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Revoicing,0.024047190680424973,0.3445578561245517,0.43736269579428194
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Pressing for Accuracy,0.011335514084944797,0.567407639454958,0.6124269341059867
TalkMoves_Teacher_ZeroShot,openai.gpt-5,Pressing for Reasoning,0.020961464808657567,0.23998275892182225,0.3227273899742149
TalkMoves_Teacher_ZeroShot,openai.o3,None,0.0084089777879994,0.5598441527689422,0.5936814715430813
TalkMoves_Teacher_ZeroShot,openai.o3,Keeping Everyone Together,0.012948099554187626,0.19350851391975255,0.24376186012315765
TalkMoves_Teacher_ZeroShot,openai.o3,Getting Students to Relate to Another's Ideas,0.03171881062025683,0.4860942129956928,0.6086009216574063
TalkMoves_Teacher_ZeroShot,openai.o3,Restating,0.030097859936325487,0.5652218496788625,0.6825719196999265
TalkMoves_Teacher_ZeroShot,openai.o3,Revoicing,0.024595126258780946,0.3094909375908454,0.40489670983936915
TalkMoves_Teacher_ZeroShot,openai.o3,Pressing for Accuracy,0.012247422056231451,0.5131945215840712,0.5614626943560411
TalkMoves_Teacher_ZeroShot,openai.o3,Pressing for Reasoning,0.01893819395771758,0.20652339457048138,0.28285242344388944
